farm_id,birth_id,breed
20084,D0421,
20085,D0216,
20086,D0386,
20087,20087,
20089,D0139,
20091,D0177,
20092,20092,
20093,D0443,
20096,D0336,
20097,D0270,
20099,D0232,
20100,D0124,
20103,20103,
20105,B1499,
20107,D0164,
20108,D0381,
20109,D0375,
20114,D0192,
20115,D0236,
20117,D0424,
20118,D0210,
20120,D0428,
20123,D0142,
20124,D0129,
20125,20125,
20126,D0441,
20127,D0271,
20128,D0442,
20129,D0225,
20130,100935,
20131,D0220,
20132,D0132,
20133,D0187,
20134,B1911,
20135,A0363,
20136,D0302,
20138,D0438,
20140,100943,
20141,20141,
20142,D0262,
20143,D0190,
20144,B1530,
20145,B1913,
20146,D0368,
20147,D0327,
20148,B1501,
20149,D0458,
20153,B1540,
20154,D0234,
20156,B1902,
20158,100932,
20159,D0304,
20160,D0453,
20161,D0450,
20163,20163,
20164,D0390,
20165,D0353,
20166,100944,
20167,B1511,
20168,D0418,
20169,D0235,
20170,100941,
20171,B1920,
20173,D0370,
20174,100930,
20175,D0422,
20176,B1904,
20177,B1508,
20178,B1515,
20179,B1918,
20180,B1696,
20181,B1551,
20182,B1518,
20183,B1595,
20185,D0419,
20186,B1611,
20188,B1699,
20189,B1520,
20191,B1622,
20194,B1539,
20196,B1517,
20199,B1668,
20200,B1921,
20202,B1535,
20206,B1568,
20207,100933,
20208,B1566,
20210,B1906,
20211,100928,
20213,B1554,
20214,B1531,
20217,B1612,
20219,B1614,
20221,B1532,
20225,B1570,
20226,B1649,
20229,B1922,
20230,20230,
20231,B1714,
20233,B1503,
20234,D0300,
20235,B1745,
20236,B1571,
20237,B1543,
20238,B1686,
20239,B1747,
20240,B1689,
20244,B1914,
20245,B1573,
20246,B1609,
20247,B1776,
20248,20248,
20249,B1919,
20250,B1749,
20251,B1754,
20252,B1756,
20253,B1658,
20254,B1536,
20255,B1752,
20258,B1671,
20259,B1538,
20260,B1690,
20261,B1746,
20262,B1660,
20264,20264,
20265,20265,
20266,B1638,
20267,B1732,
20269,B1513,
20270,A0396,
20271,20271,
20273,B1681,
20274,B1620,
20276,B1588,
20277,B1617,
20278,B1613,
20279,B1544,
20280,B1700,
20281,B1688,
20282,B1601,
20283,B1768,
20284,B1666,
20286,B1590,
20288,B1639,
20289,B1810,
20290,B1653,
20293,100923,
20294,B1780,
20295,B1580,
20296,B1711,
20298,B1615,
20299,B1655,
20300,B1629,
20301,B1915,
20302,B1757,
20303,B1701,
20305,20305,
20306,B1793,
20307,B1778,
20308,B1692,
20309,D0425,
20310,B1591,
20312,B1697,
20313,B1502,
20314,B1529,
20315,B1750,
20317,B1783,
20318,B1553,
20319,100940,
20322,B1792,
20324,B1759,
20326,B1625,
20327,B1685,
20329,B1565,
20330,B1785,
20331,B1823,
20333,B1637,
20334,B1652,
20335,B1665,
20337,B1865,
20339,B1926,
20340,B1899,
20341,B1938,
20342,B1774,
20343,100931,
20344,B1741,
20348,B1933,
20349,20349,
20350,D0395,
20355,B1734,
20356,B1713,
20357,B1737,
20358,B1978,
20359,B1893,
20360,B1826,
20363,B1896,
20369,B1917,
20370,B1730,
20371,B1814,
20372,B1927,
20373,A0394,
20376,100926,
20377,B1528,
20378,B1661,
20379,B1642,
20380,B1959,
20381,B1710,
20382,B1777,
20383,B1795,
20384,20384,
20385,B1993,
20386,B1892,
20387,B1800,
20389,B1982,
20390,B1928,
20391,B1775,
20393,B2056,
20394,B1987,
20397,B1717,
20398,B2041,
20399,B1973,
20400,B2022,
20401,B1929,
20402,B1965,
20403,B1784,
20405,B1728,
20406,B1790,
20407,B1817,
20408,B1820,
20409,B2010,
20410,B1861,
20412,B1885,
20413,B1867,
20414,B1955,
20415,B1954,
20416,B2000,
20418,B1931,
20421,B1839,
20422,B1897,
20424,B1998,
20426,B1958,
20427,B1932,
20428,B1857,
20430,B1796,
20431,B1842,
20432,B2026,
20434,B2015,
20436,B1960,
20438,B1853,
20440,B1782,
20442,B2009,
20444,B1770,
20445,B2016,
20446,B1843,
20447,B1797,
20448,B1970,
20450,B2007,
20451,B2050,
20453,B1840,
20456,B1934,
20457,B2013,
20460,B2053,
20462,B1868,
20463,B1707,
20465,B1748,
20466,B1939,
20467,B1886,
20468,B1816,
20469,20469,
20470,B1781,
20471,B1986,
20472,B1852,
20474,B1941,
20475,20475,
20477,B1916,
20478,B1976,
20480,B2021,
20481,B2035,
20482,B2002,
20483,B1997,
20484,B1984,
20487,B1943,
20489,B2130,
20491,B2042,
20492,B2109,
20493,B2071,
20495,B2044,
20496,B2049,
20497,20497,
20498,B2132,
20500,B1877,
20501,B1863,
20502,B2018,
20503,B2055,
20504,20504,
20505,B1758,
20506,B1957,
20507,B1888,
20509,B2103,
20510,B2111,
20511,B1980,
20513,B2124,
20514,B2108,
20515,B1723,
20516,B2097,
20518,B2011,
20519,B1946,
20520,B1981,
20521,B2072,
20522,B2149,
20523,B2184,
20526,B2019,
20527,A0414,
20528,B1827,
20530,B1988,
20531,20531,
20532,B2032,
20533,B1869,
20534,B2036,
20537,B2123,
20538,B2006,
20539,B2173,
20540,B2221,
20542,B2025,
20543,B2088,
20545,B2203,
20547,B2216,
20548,20548,
20549,B2182,
20550,B2152,
20551,B2192,
20552,B2129,
20553,B2196,
20554,B2178,
20555,20555,
20557,B2185,
20558,B2193,
20559,B2091,
20560,B2024,
20561,B1887,
20562,B1966,
20564,B2199,
20565,B1855,
20566,B2190,
20567,B1894,
20568,B2099,
20569,B2116,
20570,B2095,
20573,B2089,
20574,20574,
20576,B2159,
20577,B2215,
20579,20579,
20580,A0406,
20581,B2003,
20582,B2094,
20583,B2143,
20584,B2064,
20585,20585,
20586,B2272,
20587,B2134,
20588,B2112,
20589,20589,
20590,A0418,
20591,B2201,
20594,B2246,
20595,20595,
20596,B2266,
20597,B2194,F1
20598,20598,F1
20599,B2236,F1
20600,20600,F1
20601,B2231,F1
20602,20602,F1
20603,20603,F1
20604,B2299,F1
20605,B2256,F1
20606,B2240,F1
20607,B2273,F1
20608,20608,F1
20609,B2283,F1
20610,B2284,F1
20611,B2251,F1
20612,B2290,F1
20613,B2234,F1
20614,B2241,F1
20615,20615,F1
20616,B2179,F1
20617,20617,F1
20618,B2150,F1
20619,B2188,F1
20620,B2321,F1
20621,B2305,F1
20622,20622,F1
20623,B2180,F1
20624,B2230,F1
20625,B2281,F1
20626,B2262,F1
20627,B2348,F1
20628,B2304,F1
20629,20629,F1
20630,B2319,F1
20631,B2317,F1
20632,B2365,F1
20633,B2287,F1
20635,B2311,F1
20636,B2232,F1
20637,B2255,F1
20638,B2276,F1
20639,B2369,F1
20640,B2344,F1
20641,B2382,F1
20642,B1956,F1
20643,B2368,F1
20644,B2247,F1
20645,B2313,F1
20646,20646,F1
20647,B2342,F1
20648,B2350,F1
20649,B2279,F1
20650,B2115,F1
20651,20651,F1
20652,B2300,
20653,20653,
20654,B2377,
20655,B2274,
20656,B2245,
20657,B2243,
20658,B2354,
20659,B2405,
20660,B2375,
20661,B2312,
20662,B2330,
20663,B2428,
20664,B2275,
20665,B2338,
20666,20666,
20667,B2264,
20668,20668,
20669,B2388,
20670,B2282,
20671,20671,
20672,B2306,
20673,B2252,
20674,20674,
20675,B2225,
20676,B2433,
20677,B2374,
20678,B2336,
20679,B2257,
20680,B2267,
20681,B2335,
20682,B2408,
20683,20683,
20684,B2397,
20685,B2242,
20686,B2270,
20687,B2356,
20688,B2172,
20689,B2263,
20690,20690,
20691,B2315,
20693,B2409,
20694,B2400,
20695,20695,
20696,B2351,
20697,B2364,
20698,B2340,
20699,B2337,
20700,B2434,
20702,B2394,
20703,20703,
20704,B2380,
20705,B2386,
20706,20706,
20707,B2413,
20708,B2358,
20709,B2298,
20710,B2381,
20711,20711,
20712,B2308,
20713,20713,
20714,B2399,
20715,B2302,
20717,B2416,
20718,20718,
20719,B2402,
20720,B2401,
20721,B2483,
20722,B2471,
20723,B2414,
20724,B2387,
20725,B2464,
20726,B2430,
20727,20727,
20729,B2487,
20730,B2470,
20731,B2481,
20732,B2453,
20733,B2407,
20734,20734,
20735,B2410,
20736,B2392,
20737,B2436,
20738,B2343,
20739,B2439,
20740,B2376,
20741,20741,
20742,B2462,
20743,B2456,
20744,B2455,
20745,20745,
20746,B2459,
20747,B2403,
20748,20748,
20749,B2458,
20750,B2443,
20751,B2476,
20752,B2472,
20753,20753,
20754,B2451,
20755,20755,
20756,B2480,
20757,B2460,
20758,B2442,
20759,B2468,
20760,B2474,
20761,20761,
20762,20762,
20763,20763,
20764,20764,
20765,B2372,
20766,B2493,
20767,B2437,
20768,B2427,
20769,20769,
20770,20770,
20771,20771,
20772,B2452,
20773,20773,
20774,B2446,
20775,B2355,
20776,B2494,
20777,B2383,
20778,B2373,
20779,20779,
20780,B2454,
20781,B2510,
20782,B2488,
20783,B2431,
20784,B2489,
20785,B2448,
20786,B2509,
20787,B2469,
20788,20788,
20789,B2449,
20790,20790,
20791,B2417,
20792,B2463,
20793,20793,
20794,B2323,
20795,20795,
20796,20796,
20797,B2366,
20799,B2492,
20800,B2495,
20801,B2379,
20802,B2503,
20803,B2484,
20804,B2419,
20805,B2418,
20806,B2461,
20807,20807,
20808,B2466,
20809,20809,
20810,B2406,
20811,B2429,
20812,B2378,
20813,B2530,
20814,B2523,
20815,20815,
20816,B2527,
20817,B2438,
20818,20818,
20819,20819,
20820,B2314,
20821,B2349,
20822,B2528,
20823,20823,
20824,B2499,
20825,B2521,
20826,B2450,
20827,B2359,
20828,B2479,
20829,B2547,
20830,20830,
2359,200551,
2364,C0038,
2370,C0014,
2376,Ñ0096,
2392,C0076,
2394,C0089,
2396,C0113,
2401,C0176,
2415,C0159,
2438,C0259,
2448,C0098,
2452,Ñ0101,
2469,C0302,
2474,C0291,
2476,C0301,
2493,C0086,
2511,C0397,
2516,C0321,
2526,200689,
2536,C0327,
2544,200629,
2548,C0412,
2554,C0466,
2558,200679,
2559,200641,
2569,C0473,
2572,C0391,
2574,C0418,
2577,C0478,
2588,C0429,
2590,200622,
2597,C0445,
2598,C0464,
2600,200662,
2602,C0550,
2606,200680,
2609,C0402,
2612,C0507,
2616,C0535,
2618,C0509,
2620,2620,
2623,C0553,
2624,C0543,
2628,C0521,
2630,C0469,
2633,C0561,
2638,C0444,
2642,200637,
2645,C0516,
2646,2646,
2648,C0569,
2649,C0602,
2654,C0465,
2655,2655,
2657,C0567,
2662,C0600,
2676,Ñ0570,
2683,C0582,
2687,C0644,
2688,C0595,
2696,C0663,
2697,C0679,
2700,C0676,
2701,C0681,
2703,C0674,
2709,C0666,
2711,C0689,
2712,C0669,
2713,C0671,
2716,C0687,
2724,C0675,
2725,C0650,
2727,C0670,
2733,C0692,
2734,C0640,
2736,C0688,
2746,C0865,
2747,C0878,
2748,C0867,
2749,C0904,
2750,C0876,
2751,C0901,
2753,C0868,
2754,C0910,
2756,C0873,
2757,C0889,
2758,C0948,
2759,C0936,
2760,C0871,
2761,C0909,
2762,C0891,
2763,C0957,
2764,C0958,
2766,C0861,
2767,C0975,
2768,C0966,
2769,C0967,KRB
2770,C1024,KRB
2773,C0880,KRB
2774,C0877,KRB
2775,C0981,KRB
2777,C1022,KRB
2779,C1019,KRB
2780,C1001,KRB
2781,C0924,KRB
2782,C0973,KRB
2783,C1023,KRB
2784,C0906,KRB
2785,C1004,KRB
2788,C0933,KRB
2789,C0940,KRB
2790,C0937,KRB
2791,C1027,KRB
2792,C0912,KRB
2793,C1039,KRB
2794,C1025,KRB
2795,C1017,KRB
2796,C1102,KRB
2797,C0883,KRB
2799,C1104,KRB
2800,C1002,KRB
2801,C1106,KRB
2802,C1011,KRB
2804,C1036,KRB
2806,C0866,KRB
2807,C1055,KRB
2808,C1128,KRB
2809,C1049,KRB
2810,C1061,KRB
2811,C1096,KRB
2812,C1054,KRB
2813,C1021,KRB
2814,C0890,KRB
2815,C1068,KRB
2817,C1076,KRB
2818,C0882,KRB
2819,C1086,KRB
2820,C1105,KRB
2821,C1093,KRB
2822,C1056,KRB
2823,C1045,KRB
2824,C1008,KRB
2825,C1083,KRB
2826,C1064,KRB
2827,C1005,KRB
2828,C0887,KRB
2829,C1088,KRB
2830,C1156,KRB
2831,C1038,KRB
2832,C1159,KRB
2833,C1043,
2834,C1155,
2835,C0896,
2836,C1026,
2837,C1133,
2838,C1058,
2839,C1067,
2840,C1072,
2841,C1139,
2843,C1166,
2844,C1091,
2845,C1089,
2847,C1124,
2848,C1150,
2849,C1152,
2850,C1016,
2851,C1066,
2852,C1098,
2853,C1193,
2854,C1198,
2855,C1136,
2856,C1132,
2857,C1192,
2858,C1006,
2859,C1125,
2860,C1188,
2861,C1180,
2862,C1168,
2863,C1099,
2864,C1078,
2865,C1158,
2866,C1179,
2867,C1013,
2868,C1130,
2869,C1047,
2870,C1117,
2871,C1126,
2872,C1185,
2873,C1194,
2874,C1189,
2875,C1143,
2877,C1145,
2878,C1177,
2879,C1182,
2881,C1178,
2882,C1151,
2883,C1075,
2884,C1035,
2885,C1181,
2886,C1085,
2887,C1161,
2888,2888,
2889,2889,
2890,C1154,
2891,C1144,
2892,C1199,
2893,C1201,
2894,2894,
2895,C1184,
2896,C1190,
2897,C1147,
2898,C1148,
2899,C1196,
4575,100950,
4576,100945,
4577,100946,
4578,100947,
4579,100949,
5004,0207,
5010,0305,
5015,0230,
5031,0333,
5045,0452,
5046,0467,
5072,0159,
5075,0438,
5078,0463,
5090,0210,
5091,0319,
5096,0456,
5104,0404,
5111,0444,
5116,0469,
5131,0453,
5139,0371,
942,RAW5230,
9925,606308,
9931,600314,
9932,602301,
9933,614503,
9937,607303,
9938,609305,
9940,609309,
9943,617307,
9944,616308,
9945,9945,
9947,616309,
9948,621306,
9953,622306,
9954,622303,
